Model,Const,Mem,Prop,#States (min),#Params (min),Add. Settings,Method,Time,Found
4x4grid,N/A,10,4.2_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
4x4grid,N/A,10,4.2_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
newgrid,N=8 ,10,"0.99_probability__max_""notbad"" U ""goal""",	30191,400,lr=0.1 args=--constraint-method project-gradient,momentum-sign,80.074,0.9992
newgrid,N=8 ,10,"0.99_probability__max_""notbad"" U ""goal""",	30191,400,lr=0.1 args=--constraint-method project-gradient,momentum-sign,80.026,0.9992
newgrid,N=8 ,10,"0.99_probability__max_""notbad"" U ""goal""",	30191,400,lr=0.1 args=--constraint-method project-gradient,momentum-sign,88.826,0.9992
newgrid,N=8 ,10,"0.99_probability__max_""notbad"" U ""goal""",	30191,400,lr=0.1 args=--constraint-method project-gradient,momentum-sign,89.009,0.9992
newgrid,N=8 ,10,"0.99_probability__max_""notbad"" U ""goal""",	30191,400,lr=0.1 args=--constraint-method project-gradient,momentum-sign,88.901,0.9992
newgrid,N=8 ,10,"0.99_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,N/A,N/A
newgrid,N=8 ,10,"0.99_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,N/A,N/A
newgrid,N=8 ,10,"0.99_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,N/A,N/A
newgrid,N=8 ,10,"0.99_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,N/A,N/A
newgrid,N=8 ,10,"0.99_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,N/A,N/A
newgrid,N=8 ,10,"0.99_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,pso,ERR,ERR
newgrid,N=8 ,10,"0.99_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,pso,ERR,ERR
newgrid,N=8 ,10,"0.99_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,pso,ERR,ERR
newgrid,N=8 ,10,"0.99_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,pso,ERR,ERR
newgrid,N=8 ,10,"0.99_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,pso,ERR,ERR
newgrid,N=15 ,10,"0.99_probability__max_""notbad"" U ""goal""",	98441,400,lr=0.1 args=--constraint-method project-gradient,momentum-sign,N/A,N/A
newgrid,N=15 ,10,"0.99_probability__max_""notbad"" U ""goal""",	98441,400,lr=0.1 args=--constraint-method project-gradient,momentum-sign,N/A,N/A
newgrid,N=15 ,10,"0.99_probability__max_""notbad"" U ""goal""",	98441,400,lr=0.1 args=--constraint-method project-gradient,momentum-sign,N/A,N/A
newgrid,N=15 ,10,"0.99_probability__max_""notbad"" U ""goal""",	98441,400,lr=0.1 args=--constraint-method project-gradient,momentum-sign,N/A,N/A
newgrid,N=15 ,10,"0.99_probability__max_""notbad"" U ""goal""",	98441,400,lr=0.1 args=--constraint-method project-gradient,momentum-sign,N/A,N/A
newgrid,N=15 ,10,"0.99_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,N/A,N/A
newgrid,N=15 ,10,"0.99_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,N/A,N/A
newgrid,N=15 ,10,"0.99_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,N/A,N/A
newgrid,N=15 ,10,"0.99_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,N/A,N/A
newgrid,N=15 ,10,"0.99_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,N/A,N/A
newgrid,N=15 ,10,"0.99_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,pso,ERR,ERR
newgrid,N=15 ,10,"0.99_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,pso,ERR,ERR
newgrid,N=15 ,10,"0.99_probability__max_""notbad"" U ""goal""",?,?,lr=0.1 args=--constraint-method project-gradient,pso,ERR,ERR
