Model,Const,Mem,Prop,#States (min),#Params (min),Add. Settings,Method,Time,Found
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.1 Logarithmic Barrier,momentum-sign,ERR,ERR
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.1 Project without gradient,momentum-sign,0.118,0.0
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.1 Project with gradient,momentum-sign,0.094,0.0
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.1 Logistic Sigmoid,momentum-sign,0.721,0.001
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.1 Logarithmic Barrier,nesterov-sign,ERR,ERR
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.1 Project without gradient,nesterov-sign,0.105,0.0
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.1 Project with gradient,nesterov-sign,0.107,0.0
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.1 Logistic Sigmoid,nesterov-sign,0.809,0.0009
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.01 Logarithmic Barrier,adam,ERR,ERR
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.01 Project without gradient,adam,7.55,0.001
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.01 Project with gradient,adam,1.696,0.0
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.01 Logistic Sigmoid,adam,N/A,N/A
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.01 Logarithmic Barrier,momentum-sign,ERR,ERR
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.01 Project without gradient,momentum-sign,0.754,0.0007
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.01 Project with gradient,momentum-sign,0.67,0.0006
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.01 Logistic Sigmoid,momentum-sign,N/A,N/A
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.01 Logarithmic Barrier,nesterov-sign,ERR,ERR
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.01 Project without gradient,nesterov-sign,0.755,0.0
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.01 Project with gradient,nesterov-sign,0.706,0.0006
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.01 Logistic Sigmoid,nesterov-sign,N/A,N/A
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.001 Logarithmic Barrier,adam,N/A,N/A
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.001 Project without gradient,adam,280.659,0.001
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.001 Project with gradient,adam,227.943,0.0009
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.001 Logistic Sigmoid,adam,N/A,N/A
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.001 Logarithmic Barrier,momentum-sign,ERR,ERR
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.001 Project without gradient,momentum-sign,5.777,0.001
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.001 Project with gradient,momentum-sign,4.524,0.0008
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.001 Logistic Sigmoid,momentum-sign,N/A,N/A
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.001 Logarithmic Barrier,nesterov-sign,ERR,ERR
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.001 Project without gradient,nesterov-sign,6.808,0.001
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.001 Project with gradient,nesterov-sign,3.769,0.0009
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.001 Logistic Sigmoid,nesterov-sign,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.1 Logarithmic Barrier,adam,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.1 Project without gradient,adam,31.84,0.0008
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.1 Project with gradient,adam,49.172,0.0005
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.1 Logistic Sigmoid,adam,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.1 Logarithmic Barrier,momentum-sign,ERR,ERR
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.1 Project without gradient,momentum-sign,35.802,0.0
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.1 Project with gradient,momentum-sign,27.498,0.0002
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.1 Logistic Sigmoid,momentum-sign,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.1 Logarithmic Barrier,nesterov-sign,ERR,ERR
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.1 Project without gradient,nesterov-sign,21.655,0.0009
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.1 Project with gradient,nesterov-sign,34.43,0.0008
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.1 Logistic Sigmoid,nesterov-sign,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.01 Logarithmic Barrier,adam,N/A,N/A
